match_id,tournament_year,game_type,stage_raw,stage,is_knockout,match_date,country_a,country_b,country_a_code,country_b_code,goals_a_90,goals_b_90,outcome_90,goals_a_after_extra_time,goals_b_after_extra_time,penalties_a,penalties_b,extra_time,score_details,venue,rank_a,rank_b,ranking_points_a,ranking_points_b,rank_diff,ranking_points_diff,confederation_a,confederation_b,same_confederation
894,2018,championship,Quarter-finals,quarter_final,true,2018-07-06,Brazil,Belgium,BRA,BEL,1,2,B_WIN,,,,,false,(0-2),"Kazan Arena, Kazan",2,3,1384,1346,1,38,CONMEBOL,UEFA,false
895,2018,championship,Quarter-finals,quarter_final,true,2018-07-07,Sweden,England,SWE,ENG,0,2,B_WIN,,,,,false,(0-1),"Samara Arena, Samara",23,13,889,1040,-10,-151,UEFA,UEFA,true
896,2018,championship,Quarter-finals,quarter_final,true,2018-07-07,Russia,Croatia,RUS,CRO,1,1,DRAW,2,2,3,4,true,"a.e.t. (1-1, 1-1) , 3-4 pen.","Fisht Stadium, Sochi",66,18,493,975,-48,-482,UEFA,UEFA,true
897,2018,championship,Semi-finals,semi_final,true,2018-07-10,France,Belgium,FRA,BEL,1,0,A_WIN,,,,,false,(0-0),"Saint Petersburg Stadium, St. Petersburg",7,3,1166,1346,-4,-180,UEFA,UEFA,true
898,2018,championship,Semi-finals,semi_final,true,2018-07-11,Croatia,England,CRO,ENG,1,1,DRAW,2,1,,,true,"a.e.t. (1-1, 0-1)","Luzhniki Stadium, Moscow",18,13,975,1040,-5,-65,UEFA,UEFA,true
899,2018,championship,Match for third place,third_place,true,2018-07-14,Belgium,England,BEL,ENG,2,0,A_WIN,,,,,false,(1-0),"Saint Petersburg Stadium, St. Petersburg",3,13,1346,1040,10,306,UEFA,UEFA,true
900,2018,championship,Final,final,true,2018-07-15,France,Croatia,FRA,CRO,4,2,A_WIN,,,,,false,(2-1),"Luzhniki Stadium, Moscow",7,18,1166,975,11,191,UEFA,UEFA,true
901,2022,championship,Group A,group,false,2022-11-20,Qatar,Ecuador,QAT,ECU,0,2,B_WIN,,,,,false,(0-2),"Al Bayt Stadium, Al Khor",51,46,1441.41,1452.63,-5,-11.22,AFC,CONMEBOL,false
902,2022,championship,Group A,group,false,2022-11-21,Senegal,Netherlands,SEN,NED,0,2,B_WIN,,,,,false,(0-0),"Al Thumama Stadium, Doha",20,10,1584.16,1658.66,-10,-74.5,CAF,UEFA,false
903,2022,championship,Group A,group,false,2022-11-25,Qatar,Senegal,QAT,SEN,1,3,B_WIN,,,,,false,(0-1),"Al Thumama Stadium, Doha",51,20,1441.41,1584.16,-31,-142.75,AFC,CAF,false
904,2022,championship,Group A,group,false,2022-11-25,Netherlands,Ecuador,NED,ECU,1,1,DRAW,,,,,false,(1-0),"Khalifa International Stadium, Al Rayyan",10,46,1658.66,1452.63,36,206.03,UEFA,CONMEBOL,false
905,2022,championship,Group A,group,false,2022-11-29,Ecuador,Senegal,ECU,SEN,1,2,B_WIN,,,,,false,(0-1),"Khalifa International Stadium, Al Rayyan",46,20,1452.63,1584.16,-26,-131.53,CONMEBOL,CAF,false
906,2022,championship,Group A,group,false,2022-11-29,Netherlands,Qatar,NED,QAT,2,0,A_WIN,,,,,false,(1-0),"Al Bayt Stadium, Al Khor",10,51,1658.66,1441.41,41,217.25,UEFA,AFC,false
907,2022,championship,Group B,group,false,2022-11-21,England,Iran,ENG,IRN,6,2,A_WIN,,,,,false,(3-0),"Khalifa International Stadium, Al Rayyan",5,21,1761.71,1564.49,16,197.22,UEFA,AFC,false
908,2022,championship,Group B,group,false,2022-11-21,USA,Wales,USA,WAL,1,1,DRAW,,,,,false,(1-0),"Ahmad bin Ali Stadium, Al Rayyan",15,18,1633.72,1588.08,3,45.64,CONCACAF,UEFA,false
909,2022,championship,Group B,group,false,2022-11-25,Wales,Iran,WAL,IRN,0,2,B_WIN,,,,,false,(0-0),"Ahmad bin Ali Stadium, Al Rayyan",18,21,1588.08,1564.49,3,23.59,UEFA,AFC,false
910,2022,championship,Group B,group,false,2022-11-25,England,USA,ENG,USA,0,0,DRAW,,,,,false,,"Al Bayt Stadium, Al Khor",5,15,1761.71,1633.72,10,127.99,UEFA,CONCACAF,false
911,2022,championship,Group B,group,false,2022-11-29,Wales,England,WAL,ENG,0,3,B_WIN,,,,,false,(0-0),"Ahmad bin Ali Stadium, Al Rayyan",18,5,1588.08,1761.71,-13,-173.63,UEFA,UEFA,true
912,2022,championship,Group B,group,false,2022-11-29,Iran,USA,IRN,USA,0,1,B_WIN,,,,,false,(0-1),"Al Thumama Stadium, Doha",21,15,1564.49,1633.72,-6,-69.23,AFC,CONCACAF,false
913,2022,championship,Group C,group,false,2022-11-22,Argentina,Saudi Arabia,ARG,KSA,1,2,B_WIN,,,,,false,(1-0),"Lusail Iconic Stadium, Lusail",4,49,1765.13,1444.69,45,320.44,CONMEBOL,AFC,false
914,2022,championship,Group C,group,false,2022-11-22,Mexico,Poland,MEX,POL,0,0,DRAW,,,,,false,,"Stadium 974, Doha",9,26,1658.82,1544.2,17,114.62,CONCACAF,UEFA,false
915,2022,championship,Group C,group,false,2022-11-26,Poland,Saudi Arabia,POL,KSA,2,0,A_WIN,,,,,false,(1-0),"Education City Stadium, Al Rayyan",26,49,1544.2,1444.69,23,99.51,UEFA,AFC,false
916,2022,championship,Group C,group,false,2022-11-26,Argentina,Mexico,ARG,MEX,2,0,A_WIN,,,,,false,(0-0),"Lusail Iconic Stadium, Lusail",4,9,1765.13,1658.82,5,106.31,CONMEBOL,CONCACAF,false
917,2022,championship,Group C,group,false,2022-11-30,Poland,Argentina,POL,ARG,0,2,B_WIN,,,,,false,(0-0),"Stadium 974, Doha",26,4,1544.2,1765.13,-22,-220.93,UEFA,CONMEBOL,false
918,2022,championship,Group C,group,false,2022-11-30,Saudi Arabia,Mexico,KSA,MEX,1,2,B_WIN,,,,,false,(0-0),"Lusail Iconic Stadium, Lusail",49,9,1444.69,1658.82,-40,-214.13,AFC,CONCACAF,false
919,2022,championship,Group D,group,false,2022-11-22,Denmark,Tunisia,DEN,TUN,0,0,DRAW,,,,,false,,"Education City Stadium, Al Rayyan",11,35,1653.6,1499.8,24,153.8,UEFA,CAF,false
920,2022,championship,Group D,group,false,2022-11-22,France,Australia,FRA,AUS,4,1,A_WIN,,,,,false,(2-1),"Al Janoub Stadium, Al Wakrah",3,42,1789.85,1462.29,39,327.56,UEFA,AFC,false
921,2022,championship,Group D,group,false,2022-11-26,Tunisia,Australia,TUN,AUS,0,1,B_WIN,,,,,false,(0-1),"Al Janoub Stadium, Al Wakrah",35,42,1499.8,1462.29,7,37.51,CAF,AFC,false
922,2022,championship,Group D,group,false,2022-11-26,France,Denmark,FRA,DEN,2,1,A_WIN,,,,,false,(0-0),"Stadium 974, Doha",3,11,1789.85,1653.6,8,136.25,UEFA,UEFA,true
